Cluster,Person1 Age,Term,TotalPremium,WGB (No. of other addresses held),JF (Score),X (Months same person on ER at current address),EF (No. of people not same surname at current address),BB (Number of CCJs),ND (Months since last CCJ),NBC,Smoker,Joint?,Sold,Channel_1,Channel_2,Channel_3,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,NOB (Property group)_1,NOB (Property group)_2,NOB (Property group)_3,NOB (Property group)_4,NOB (Property group)_5,NOB (Property group)_6,NOB (Property group)_7,NOB (Property group)_8,NOB (Property group)_9,NOB (Property group)_10,NOB (Property group)_11,NOB (Property group)_12,NOB (Property group)_13,NOB (Property group)_14,NOB (Property group)_15,NOB (Property group)_16,NOB (Property group)_17,NOB (Property group)_18,NOB (Property group)_19,NOB (Property group)_20,NOB (Property group)_21,NOB (Property group)_22,NOB (Property group)_23,NOB (Property group)_24,NOB (Property group)_25,URB (Income group)_1,URB (Income group)_2,URB (Income group)_3,URB (Income group)_4,URB (Income group)_5,URB (Income group)_6,URB (Income group)_7,URB (Income group)_8,URB (Income group)_9,LSB (Regional banded house price band)_1,LSB (Regional banded house price band)_2,LSB (Regional banded house price band)_3,LSB (Regional banded house price band)_4,LSB (Regional banded house price band)_5,LSB (Regional banded house price band)_6,LSB (Regional banded house price band)_7,LSB (Regional banded house price band)_8,LSB (Regional banded house price band)_9,LSB (Regional banded house price band)_10,LSB (Regional banded house price band)_11
0,44.39141414141414,20.946969696969695,33.58257575757576,2.0202020202020203,558.9002525252525,26.9520202020202,5.734848484848484,0.0,37.0,863.0550757575758,0.6098484848484849,0.375,0.1919191919191919,0.47601010101010105,0.3194444444444444,0.20454545454545453,0.3409090909090909,0.059343434343434344,0.19823232323232323,0.20833333333333334,0.05808080808080808,0.1351010101010101,6.938893903907228e-18,6.938893903907228e-18,1.0,0.0,0.0,6.938893903907228e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,6.938893903907228e-18,-1.734723475976807e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.011363636363636367,0.0025252525252525276,0.00883838383838384,0.02272727272727272,-1.3877787807814457e-17,0.0025252525252525415,0.952020202020202,0.0,0.0,0.0037878787878787706,0.0,0.0,0.9962121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,44.18663194444444,20.40798611111111,35.59934895833333,2.830729166666667,564.6944444444445,37.3203125,6.892361111111112,0.021701388888888895,37.25086805555556,870.6275607638888,0.6059027777777778,0.3914930555555556,0.2482638888888889,0.4791666666666667,0.3081597222222222,0.2126736111111111,0.3472222222222222,0.0546875,0.1918402777777778,0.2065972222222222,0.04861111111111111,0.15104166666666669,0.0642361111111111,0.0842013888888889,0.0,0.07725694444444445,0.09809027777777779,0.13541666666666666,3.469446951953614e-18,0.0,0.06510416666666667,0.005208333333333334,0.0,0.0034722222222222238,0.08333333333333334,0.0685763888888889,0.06336805555555555,0.040798611111111105,0.09461805555555555,0.017361111111111115,0.026041666666666668,0.006944444444444444,0.0,0.022569444444444448,0.01909722222222222,0.022569444444444448,0.001736111111111111,0.0017361111111111188,0.04861111111111111,0.24131944444444445,0.08767361111111112,0.21788194444444448,0.2925347222222222,0.0,0.0859375,0.024305555555555556,0.1545138888888889,0.09982638888888888,0.1753472222222222,0.0,0.0,0.1840277777777778,0.13975694444444445,0.026041666666666664,0.12413194444444445,0.04861111111111111,0.04774305555555556
2,44.496688741721854,20.54083885209713,26.96887417218543,2.3598233995584987,527.8520971302428,32.99779249448124,7.77924944812362,0.15673289183222958,35.81898454746137,665.626004415011,0.576158940397351,0.3973509933774835,0.24724061810154524,0.49889624724061815,0.30905077262693154,0.1920529801324503,0.36644591611479027,0.03973509933774834,0.2052980132450331,0.18101545253863136,0.05739514348785872,0.1501103752759382,0.030905077262693155,0.03532008830022075,0.0,0.004415011037527589,0.0044150110375275955,0.01324503311258278,0.0044150110375275955,0.04856512141280353,0.004415011037527592,0.09713024282560706,0.0,0.11258278145695366,0.0640176600441501,0.0,0.05518763796909491,0.09271523178807947,0.03532008830022075,0.11699779249448125,0.0,0.16556291390728475,0.11479028697571744,0.0,0.0,0.0,0.0,0.5717439293598234,0.026490066225165566,0.0640176600441501,0.31346578366445915,0.0,0.02428256070640178,0.0,0.0,0.0,0.09933774834437085,0.09713024282560706,0.050772626931567325,0.0,0.026490066225165552,0.04415011037527594,0.0,0.29580573951434885,0.05739514348785872,0.17880794701986752,0.1501103752759382
3,43.99135446685879,21.080691642651296,30.9685590778098,2.3314121037463975,559.9740634005764,35.92795389048992,7.46685878962536,0.0,37.0,760.0386167146974,0.6080691642651297,0.39769452449567727,0.2881844380403458,0.49567723342939485,0.25936599423631124,0.24495677233429394,0.35734870317002876,0.0547550432276657,0.18443804034582134,0.2276657060518732,0.04610951008645533,0.12968299711815562,0.011527377521613834,0.043227665706051875,0.0,0.043227665706051875,0.03170028818443804,0.023054755043227668,0.239193083573487,0.0,0.014409221902017289,0.014409221902017292,0.3371757925072046,0.03170028818443804,0.028818443804034588,0.023054755043227668,0.04322766570605187,0.034582132564841495,0.043227665706051875,0.011527377521613837,0.0,0.005763688760806917,0.0028818443804034567,0.0,0.017291066282420747,0.0,0.0,0.09798270893371759,0.043227665706051875,0.2910662824207493,0.16138328530259366,0.16714697406340057,0.1930835734870317,0.0,0.00864553314121038,0.037463976945244955,0.04610951008645532,0.12103746397694523,0.040345821325648415,0.0,0.6628242074927955,0.011527377521613827,0.00576368876080692,0.014409221902017287,0.07780979827089338,0.011527377521613834,0.008645533141210374
